time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-05-01 00:00:00+00:00,btc,634217,1.71724649,154317464332.4519972647680074122,31590148.2430152,82.07141315,9072.16875745178,17009986.08581849,198167,1880282773.4188851622555176344,34.1641280693238
2018-05-02 00:00:00+00:00,btc,673769,1.7386519,156578190321.4114003023305822612,27991270.5950767,62.69724934,9204.12764056108,17011736.08581839,210896,2497369373.8820651167835595368,34.1068055418234
2018-05-03 00:00:00+00:00,btc,660104,1.83904816,165894741989.1293147651287371679,30190584.7132614,62.32498316,9750.70014640561,17013623.58581839,227954,2661769543.8171059420689198484,34.0563855420117
2018-05-04 00:00:00+00:00,btc,710689,1.82662477,164991759225.7550483053737206024,27591395.3008614,55.18565316,9696.64290999416,17015348.58581839,224579,2989758203.0326280489691370784,33.9847137339326
2018-05-05 00:00:00+00:00,btc,606625,1.84393794,166700806032.8764876288426743768,32189961.1843383,93.10389739,9795.92577206312,17017361.08579839,195965,1790481501.8806747976474427464,33.8989432796858
2018-05-06 00:00:00+00:00,btc,535825,1.80577797,163299488641.5585205387819477854,27391457.6537537,85.57435706,9595.08681940386,17019073.58579839,172671,1908275963.2061998047407884224,33.842003848354
2018-05-07 00:00:00+00:00,btc,662775,1.75762436,158967333946.106770554057950626,29990647.0661537,65.36829436,9339.5108471654,17020948.58579819,204816,2431872140.651531332041708454,33.7948775805988
2018-05-08 00:00:00+00:00,btc,665870,1.73387152,156819276398.111261305587133169,27791332.9479691,58.43887242,9212.36963471654,17022686.08579735,219628,2683475397.4981065486550978036,33.716800592975
2018-05-09 00:00:00+00:00,btc,603396,1.74723256,158211127488.7948701418558107375,31990023.5372306,61.14809309,9293.04227352425,17024686.08579735,204710,2587343603.0716639975627675625,33.6385392302478
2018-05-10 00:00:00+00:00,btc,633729,1.69887071,153878517153.7762480687457675705,30790397.6545844,58.24897695,9037.53050905903,17026611.08579735,215367,2641737678.8890426319340415704,33.5632744901659
2018-05-11 00:00:00+00:00,btc,772234,1.58493865,143373321270.3078612148729521035,26155095.4999563,48.72087078,8419.75858737581,17028198.58579735,207053,2942749564.3196231327297914758,33.5104527808104
2018-05-12 00:00:00+00:00,btc,563749,1.5974431,144514968309.057437380683803944,33988897.1882542,80.23960933,8485.77526680304,17030261.08579735,181270,1801042770.6887587455407768144,33.4438661653646
2018-05-13 00:00:00+00:00,btc,488836,1.63680889,148108395237.2360311024423993065,30487010.8112825,100.97316656,8695.83309380479,17032111.08579735,159530,1466809453.228312318375990942,33.3909119035056
2018-05-14 00:00:00+00:00,btc,641192,1.62361239,147701005849.9463449523350462335,27191117.7506033,46.02177404,8671.07417475161,17033761.08579735,211328,3209372279.0578085178139767636,33.3727448944545
2018-05-15 00:00:00+00:00,btc,624136,1.58958164,144605949351.01570335553500045,30075024.1786976,64.74641191,8488.463421391,17035586.08576995,208197,2233420278.88735053432435701,33.2960215962993
2018-05-16 00:00:00+00:00,btc,617403,1.56132079,141886841023.804024087505263164,36872803.6163485,57.59749729,8327.75620134424,17037823.58576985,213978,2463420247.560070055208296044,33.2338259819826
2018-05-17 00:00:00+00:00,btc,635676,1.50426871,137176558811.93734481501333097,27191117.7506033,44.8078241,8050.51623933372,17039473.58576975,190427,3061442093.6853045906533594904,33.1371220722433
2018-05-18 00:00:00+00:00,btc,701918,1.5392871,140302690393.9784215401058982095,30487010.8112825,51.35949575,8233.08645528931,17041323.58574245,216419,2731777023.0849538721693473211,33.0775063802265
2018-05-19 00:00:00+00:00,btc,500408,1.53821787,140257123405.4329578333123211695,31722970.7090372,121.64121806,8229.48293571011,17043248.58574245,167502,1153039451.9509644280453447704,32.995217138779
2018-05-20 00:00:00+00:00,btc,483041,1.59036292,145078058846.0958713456172831875,29663037.5461127,113.72413539,8511.44883021625,17045048.58574235,159863,1275701576.8782886795024510875,32.9250498814299
2018-05-21 00:00:00+00:00,btc,620329,1.56883389,143171421543.0004124394788059465,32340950.6579146,85.67420677,8398.62312653419,17047011.08574235,201185,1671114644.0046874107182325479,32.879476623984
2018-05-22 00:00:00+00:00,btc,595706,1.49717102,136519507769.1795816383803391375,31104990.7601599,78.82646747,8007.52653214495,17048898.58574225,207023,1731899350.0227251392164600525,32.7932975646172
2018-05-23 00:00:00+00:00,btc,636565,1.40810171,128237740095.4097184430488111725,33370917.2393768,61.65747583,7520.86767913501,17050923.58574225,222546,2079840901.0953818365317031031,32.7143418134559
2018-05-24 00:00:00+00:00,btc,559734,1.41826534,129184935653.373500148300151008,30032592.1199289,58.85499339,7575.62448597312,17052711.08574215,202902,2194969843.9358364176642584896,32.6248155150056
2018-05-25 00:00:00+00:00,btc,624713,1.39150485,126639121906.136631363459882929,37681533.9302757,66.00189868,7425.37567445938,17054911.08574205,198774,1918719376.8071015331374726634,32.5071818817766
2018-05-26 00:00:00+00:00,btc,459370,1.37360478,124964285195.887000683436106594,34684139.1858219,119.57943135,7326.30318644068,17056936.08574205,155834,1045031606.0669584446719735792,32.4067783818968
2018-05-27 00:00:00+00:00,btc,441802,1.37644815,125182133039.2186360604695827345,35112338.4350296,112.98211544,7338.19304441847,17058986.08574135,143384,1107981847.8120399500841935184,32.3536263838105
2018-05-28 00:00:00+00:00,btc,598556,1.33597351,121317311761.568346010544468648,33399541.4381989,58.13694828,7110.82388164816,17060936.08571405,192951,2086750600.7980860756991178512,32.3207843635695
2018-05-29 00:00:00+00:00,btc,600021,1.40088628,127178919277.3934615840510308095,29759847.8199336,62.51969565,7453.63372501461,17062673.58571395,204915,2034221663.2895883712851518703,32.2671843711039
2018-05-30 00:00:00+00:00,btc,596173,1.38664652,125847610692.340564419408963765,37253334.681068,68.44377559,7374.6690490941,17064848.58568665,204891,1838700591.87115438535030217,32.1917369272366
2018-05-31 00:00:00+00:00,btc,620191,1.40689168,127639489898.682097612430427267,36396936.1826526,76.11887093,7478.74186703682,17066973.58565935,206264,1676844235.0506438169634309706,32.105082392729
2018-06-01 00:00:00+00:00,btc,683588,1.41524122,128356441555.948761497662835109,35540537.6842373,74.73651586,7519.83573728814,17069048.58565935,201858,1717452841.804890273335009478,31.9900980099067
